fighter_name,fighter_url,height_raw,weight_raw,reach_raw,stance_raw,date_of_birth,height_in,weight_lbs,reach_in,stance
AJ Cunningham,http://ufcstats.com/fighter-details/d1053e55f00e53fe,"5' 10""",135 lbs.,"71""",Orthodox,1994-09-07,70.0,135.0,71.0,Orthodox
AJ Dobson,http://ufcstats.com/fighter-details/009c4420727149ea,"6' 1""",185 lbs.,"76""",Orthodox,1992-01-18,73.0,185.0,76.0,Orthodox
AJ Fletcher,http://ufcstats.com/fighter-details/725b1abc9a39d873,"5' 10""",170 lbs.,"67""",Switch,1997-02-18,70.0,170.0,67.0,Switch
Aalon Cruz,http://ufcstats.com/fighter-details/003d82fa384ca1d0,"6' 0""",145 lbs.,"78""",Switch,1989-09-20,72.0,145.0,78.0,Switch
Aaron Brink,http://ufcstats.com/fighter-details/cf1a88371c8cb690,"6' 3""",205 lbs.,--,Orthodox,1974-11-12,75.0,205.0,,Orthodox
Aaron Phillips,http://ufcstats.com/fighter-details/34c2b3656f88f7ef,"5' 9""",135 lbs.,"71""",Southpaw,1989-08-05,69.0,135.0,71.0,Southpaw
Aaron Pico,http://ufcstats.com/fighter-details/5537efc6e496dd84,"5' 8""",145 lbs.,"70""",Orthodox,1996-09-23,68.0,145.0,70.0,Orthodox
Aaron Riley,http://ufcstats.com/fighter-details/f2c8ebbeafd45f2b,"5' 8""",155 lbs.,"69""",Southpaw,1980-12-09,68.0,155.0,69.0,Southpaw
Aaron Rosa,http://ufcstats.com/fighter-details/11f8860028b68fcf,"6' 4""",205 lbs.,"77""",Orthodox,1983-05-28,76.0,205.0,77.0,Orthodox
Aaron Simpson,http://ufcstats.com/fighter-details/d5f820c11a121050,"6' 0""",170 lbs.,"73""",Orthodox,1974-07-20,72.0,170.0,73.0,Orthodox
Aaron Wilkinson,http://ufcstats.com/fighter-details/338a11d3674eb2d4,"5' 10""",155 lbs.,--,Orthodox,1987-01-31,70.0,155.0,,Orthodox
Abdul Rakhman Yakhyaev,http://ufcstats.com/fighter-details/95aff2fd8d09a5f0,"6' 2""",205 lbs.,"78""",Orthodox,2001-01-03,74.0,205.0,78.0,Orthodox
Abdul Razak Alhassan,http://ufcstats.com/fighter-details/eae431e70064e046,"5' 10""",185 lbs.,"73""",Orthodox,1985-08-11,70.0,185.0,73.0,Orthodox
Abdul-Kareem Al-Selwady,http://ufcstats.com/fighter-details/597499ac7a5aac62,"5' 8""",155 lbs.,"69""",Orthodox,1995-04-10,68.0,155.0,69.0,Orthodox
Abdul-Kerim Edilov,http://ufcstats.com/fighter-details/37e03538c960bac6,"6' 2""",205 lbs.,--,Orthodox,1991-11-25,74.0,205.0,,Orthodox
Abel Trujillo,http://ufcstats.com/fighter-details/e14b5aa06eea9653,"5' 8""",155 lbs.,"70""",Orthodox,1983-09-18,68.0,155.0,70.0,Orthodox
Abner Lloveras,http://ufcstats.com/fighter-details/6448e57a9533b7e4,"5' 11""",155 lbs.,--,,1982-09-04,71.0,155.0,,
Abu Azaitar,http://ufcstats.com/fighter-details/46d0a888d87d91ac,"5' 9""",185 lbs.,"76""",Orthodox,1986-03-10,69.0,185.0,76.0,Orthodox
Abubakar Nurmagomedov,http://ufcstats.com/fighter-details/029e1293e609fd74,"5' 11""",170 lbs.,"72""",Orthodox,1989-11-13,71.0,170.0,72.0,Orthodox
Abus Magomedov,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4,"6' 2""",185 lbs.,"78""",Orthodox,1990-09-02,74.0,185.0,78.0,Orthodox
Adam Cella,http://ufcstats.com/fighter-details/b27b8881d7444114,"6' 2""",170 lbs.,--,,1985-06-26,74.0,170.0,,
Adam Fugitt,http://ufcstats.com/fighter-details/a01a62132460a98d,"6' 1""",170 lbs.,"77""",Southpaw,1989-01-12,73.0,170.0,77.0,Southpaw
Adam Milstead,http://ufcstats.com/fighter-details/72ffecf712673af1,"6' 3""",205 lbs.,"76""",Orthodox,1987-07-03,75.0,205.0,76.0,Orthodox
Adam Wieczorek,http://ufcstats.com/fighter-details/efa1f6b42c86793c,"6' 5""",250 lbs.,"81""",Orthodox,1992-02-05,77.0,250.0,81.0,Orthodox
Adam Yandiev,http://ufcstats.com/fighter-details/0a95c474e61a6c44,"5' 9""",185 lbs.,"74""",Orthodox,1988-08-07,69.0,185.0,74.0,Orthodox
Adlan Amagov,http://ufcstats.com/fighter-details/1e327b281ef6a745,"6' 2""",170 lbs.,"76""",Orthodox,1986-10-30,74.0,170.0,76.0,Orthodox
Adrian Serrano,http://ufcstats.com/fighter-details/e7ec11096eac0282,"5' 8""",170 lbs.,--,,1963-12-23,68.0,170.0,,
Adrian Yanez,http://ufcstats.com/fighter-details/0232cabbc30a2372,"5' 7""",135 lbs.,"70""",Orthodox,1993-11-29,67.0,135.0,70.0,Orthodox
Adriano Martins,http://ufcstats.com/fighter-details/7dcf06c1967801c1,"5' 10""",155 lbs.,"72""",Southpaw,1982-12-16,70.0,155.0,72.0,Southpaw
Adriano Santos,http://ufcstats.com/fighter-details/c6e6926a81adcd00,--,--,--,,,,,,
Aiemann Zahabi,http://ufcstats.com/fighter-details/24656ef4d605c96f,"5' 8""",135 lbs.,"68""",Orthodox,1987-11-19,68.0,135.0,68.0,Orthodox
Ailin Perez,http://ufcstats.com/fighter-details/06e4245d16fc5315,"5' 5""",135 lbs.,"66""",Switch,1994-10-05,65.0,135.0,66.0,Switch
Aisling Daly,http://ufcstats.com/fighter-details/e50cd77732d39967,"5' 2""",115 lbs.,"64""",Orthodox,1987-12-24,62.0,115.0,64.0,Orthodox
Akbarh Arreola,http://ufcstats.com/fighter-details/c136b2a8852da5bd,"5' 10""",155 lbs.,"71""",Southpaw,1983-01-14,70.0,155.0,71.0,Southpaw
Akihiro Gono,http://ufcstats.com/fighter-details/b2acebbef8da14ea,"5' 7""",170 lbs.,"68""",Switch,1974-10-07,67.0,170.0,68.0,Switch
Akira Corassani,http://ufcstats.com/fighter-details/3f52ce18fb98008f,"5' 8""",145 lbs.,"68""",Orthodox,1982-08-27,68.0,145.0,68.0,Orthodox
Al Iaquinta,http://ufcstats.com/fighter-details/59279a7c978f7da0,"5' 10""",155 lbs.,"70""",Orthodox,1987-04-30,70.0,155.0,70.0,Orthodox
Alan Baudot,http://ufcstats.com/fighter-details/c9a94278df042f46,"6' 3""",243 lbs.,"79""",Orthodox,1988-02-01,75.0,243.0,79.0,Orthodox
Alan Belcher,http://ufcstats.com/fighter-details/4130a743d9d22163,"6' 2""",185 lbs.,"75""",Orthodox,1984-04-24,74.0,185.0,75.0,Orthodox
Alan Jouban,http://ufcstats.com/fighter-details/cf65d56b0755ed3b,"6' 0""",170 lbs.,"73""",Southpaw,1981-11-25,72.0,170.0,73.0,Southpaw
Alan Omer,http://ufcstats.com/fighter-details/f2ad06f1007c481a,"5' 10""",145 lbs.,--,Orthodox,1988-09-14,70.0,145.0,,Orthodox
Alan Patrick,http://ufcstats.com/fighter-details/cd7763bcadb5d4c8,"5' 11""",155 lbs.,"74""",Southpaw,1983-07-19,71.0,155.0,74.0,Southpaw
Alatengheili,http://ufcstats.com/fighter-details/1897b7b913736a7c,"5' 5""",135 lbs.,"66""",Orthodox,1991-12-14,65.0,135.0,66.0,Orthodox
Albert Cheng,http://ufcstats.com/fighter-details/d8d7b24d276c8cb0,"5' 11""",170 lbs.,--,Orthodox,1985-02-07,71.0,170.0,,Orthodox
Albert Duraev,http://ufcstats.com/fighter-details/6b7c7460855dbbb9,"5' 11""",185 lbs.,"75""",Orthodox,1989-01-05,71.0,185.0,75.0,Orthodox
Albert Morales,http://ufcstats.com/fighter-details/544d7460b3e44393,"5' 9""",135 lbs.,"72""",Orthodox,1991-05-25,69.0,135.0,72.0,Orthodox
Albert Tumenov,http://ufcstats.com/fighter-details/ff6a1f63c254127e,"5' 11""",170 lbs.,"73""",Orthodox,1991-12-26,71.0,170.0,73.0,Orthodox
Alberta Cerra Leon,http://ufcstats.com/fighter-details/6e02c318762f52f1,"5' 8""",238 lbs.,--,,,68.0,238.0,,
Alberto Crane,http://ufcstats.com/fighter-details/25433871e4eee0f4,"5' 5""",155 lbs.,--,Orthodox,1976-07-14,65.0,155.0,,Orthodox
Alberto Mina,http://ufcstats.com/fighter-details/4b1d46a1b5c0fd11,"6' 0""",170 lbs.,"77""",Orthodox,1982-05-02,72.0,170.0,77.0,Orthodox
Alberto Montes,http://ufcstats.com/fighter-details/a112097ad877a48f,"5' 7""",145 lbs.,"69""",Orthodox,1994-05-31,67.0,145.0,69.0,Orthodox
Alberto Uda,http://ufcstats.com/fighter-details/8f2deefe8c5dfb5d,"6' 3""",185 lbs.,--,Orthodox,1984-08-08,75.0,185.0,,Orthodox
Alden Coria,http://ufcstats.com/fighter-details/5e9ca8dd7d783a75,"5' 8""",125 lbs.,"67""",Orthodox,1998-04-24,68.0,125.0,67.0,Orthodox
Alejandro Perez,http://ufcstats.com/fighter-details/80daefbed11ce998,"5' 6""",135 lbs.,"67""",Orthodox,1989-09-02,66.0,135.0,67.0,Orthodox
Aleksa Camur,http://ufcstats.com/fighter-details/c2a670b22d2e196f,"6' 1""",205 lbs.,"74""",Orthodox,1995-09-25,73.0,205.0,74.0,Orthodox
Aleksandar Rakic,http://ufcstats.com/fighter-details/333b9e5c723ac873,"6' 4""",205 lbs.,"78""",Orthodox,1992-02-06,76.0,205.0,78.0,Orthodox
Aleksandra Albu,http://ufcstats.com/fighter-details/e76d9f656ceb82ab,"5' 2""",115 lbs.,"63""",Orthodox,1990-07-14,62.0,115.0,63.0,Orthodox
Aleksandre Topuria,http://ufcstats.com/fighter-details/4a6dff1b260bcf61,"5' 7""",135 lbs.,"68""",Orthodox,1996-01-28,67.0,135.0,68.0,Orthodox
Aleksei Kunchenko,http://ufcstats.com/fighter-details/e2ccd9a9ace60de7,"5' 8""",170 lbs.,"70""",Orthodox,1984-05-02,68.0,170.0,70.0,Orthodox
Aleksei Oleinik,http://ufcstats.com/fighter-details/98c23cb6da5b3352,"6' 2""",240 lbs.,"80""",Orthodox,1977-06-20,74.0,240.0,80.0,Orthodox
Alen Amedovski,http://ufcstats.com/fighter-details/70fa1c64a2c439ef,"5' 10""",185 lbs.,"74""",Orthodox,1988-04-06,70.0,185.0,74.0,Orthodox
Alessandro Costa,http://ufcstats.com/fighter-details/3fa97913cfd205d3,"5' 4""",125 lbs.,"67""",Orthodox,1996-01-28,64.0,125.0,67.0,Orthodox
Alessio Di Chirico,http://ufcstats.com/fighter-details/77d7295d1b22c694,"6' 0""",185 lbs.,"74""",Orthodox,1989-12-12,72.0,185.0,74.0,Orthodox
Alessio Sakara,http://ufcstats.com/fighter-details/7f955f71fa2ce7ac,"6' 0""",185 lbs.,"72""",Orthodox,1981-09-02,72.0,185.0,72.0,Orthodox
Alex Andrade,http://ufcstats.com/fighter-details/1562b12763cc8d67,"5' 11""",200 lbs.,--,Orthodox,1974-05-14,71.0,200.0,,Orthodox
Alex Caceres,http://ufcstats.com/fighter-details/7aa3d6964eff4877,"5' 10""",145 lbs.,"73""",Southpaw,1988-06-20,70.0,145.0,73.0,Southpaw
Alex Chambers,http://ufcstats.com/fighter-details/26b63bc5c0c1f65d,"5' 3""",115 lbs.,"63""",Southpaw,1978-10-25,63.0,115.0,63.0,Southpaw
Alex Da Silva,http://ufcstats.com/fighter-details/c3ded6f7155f9ea4,"5' 8""",155 lbs.,"73""",Orthodox,1996-02-04,68.0,155.0,73.0,Orthodox
Alex Garcia,http://ufcstats.com/fighter-details/a2b12c3f3d60ff69,"5' 9""",170 lbs.,"72""",Orthodox,1987-07-14,69.0,170.0,72.0,Orthodox
Alex Gorgees,http://ufcstats.com/fighter-details/803bebcfb6d6f506,"6' 2""",155 lbs.,"74""",Switch,1995-08-11,74.0,155.0,74.0,Switch
Alex Hunter,http://ufcstats.com/fighter-details/baa5358456803df8,"5' 9""",226 lbs.,--,Orthodox,,69.0,226.0,,Orthodox
Alex Karalexis,http://ufcstats.com/fighter-details/e361e5c858af6ff1,"5' 8""",155 lbs.,"66""",Orthodox,1977-09-20,68.0,155.0,66.0,Orthodox
Alex Morono,http://ufcstats.com/fighter-details/cdb96af67d096b1e,"5' 11""",170 lbs.,"72""",Orthodox,1990-08-16,71.0,170.0,72.0,Orthodox
Alex Nicholson,http://ufcstats.com/fighter-details/2b6d855c6e280fb1,"6' 4""",185 lbs.,"77""",Orthodox,1990-05-02,76.0,185.0,77.0,Orthodox
Alex Oliveira,http://ufcstats.com/fighter-details/57b10fca4f9c9a7a,"5' 11""",170 lbs.,"76""",Orthodox,1988-02-21,71.0,170.0,76.0,Orthodox
Alex Pereira,http://ufcstats.com/fighter-details/e5549c82bfb5582d,"6' 4""",205 lbs.,"79""",Orthodox,1987-07-07,76.0,205.0,79.0,Orthodox
Alex Perez,http://ufcstats.com/fighter-details/ab2b4ff41d6ebe0f,"5' 6""",125 lbs.,"65""",Orthodox,1992-03-21,66.0,125.0,65.0,Orthodox
Alex Reyes,http://ufcstats.com/fighter-details/dc07493a87dc0a6e,"5' 11""",155 lbs.,"73""",Orthodox,1986-10-02,71.0,155.0,73.0,Orthodox
Alex Ricci,http://ufcstats.com/fighter-details/bf9bc96336922271,"5' 11""",155 lbs.,--,Orthodox,1982-07-21,71.0,155.0,,Orthodox
Alex Schoenauer,http://ufcstats.com/fighter-details/fdfef29ba17ee525,"6' 3""",185 lbs.,--,Orthodox,1976-05-05,75.0,185.0,,Orthodox
Alex Soto,http://ufcstats.com/fighter-details/d18dbcb0f8e2b55d,"5' 8""",135 lbs.,--,Southpaw,1984-02-15,68.0,135.0,,Southpaw
Alex Stiebling,http://ufcstats.com/fighter-details/df5a77121ba84a5d,"6' 2""",205 lbs.,--,Southpaw,1976-12-26,74.0,205.0,,Southpaw
Alex Torres,http://ufcstats.com/fighter-details/e4e0f310b3cf23a8,"5' 10""",145 lbs.,--,Orthodox,1988-05-29,70.0,145.0,,Orthodox
Alex White,http://ufcstats.com/fighter-details/c17041f1bb5768d8,"6' 0""",155 lbs.,"71""",Southpaw,1988-10-22,72.0,155.0,71.0,Southpaw
Alexa Grasso,http://ufcstats.com/fighter-details/e8b731feff72294b,"5' 5""",125 lbs.,"66""",Orthodox,1993-08-09,65.0,125.0,66.0,Orthodox
Alexander Gustafsson,http://ufcstats.com/fighter-details/3c6976f8182d9527,"6' 5""",205 lbs.,"79""",Orthodox,1987-01-15,77.0,205.0,79.0,Orthodox
Alexander Hernandez,http://ufcstats.com/fighter-details/262a7d06203657e6,"5' 9""",155 lbs.,"72""",Orthodox,1992-10-01,69.0,155.0,72.0,Orthodox
Alexander Munoz,http://ufcstats.com/fighter-details/f8f1ec513bcfef43,"5' 9""",155 lbs.,"72""",Switch,1990-02-27,69.0,155.0,72.0,Switch
Alexander Volkanovski,http://ufcstats.com/fighter-details/e1248941344b3288,"5' 6""",145 lbs.,"71""",Orthodox,1988-09-29,66.0,145.0,71.0,Orthodox
Alexander Volkov,http://ufcstats.com/fighter-details/279566840aa55bf2,"6' 7""",261 lbs.,"80""",Orthodox,1988-10-24,79.0,261.0,80.0,Orthodox
Alexander Yakovlev,http://ufcstats.com/fighter-details/d06f8869449ba7bd,"6' 3""",155 lbs.,"74""",Southpaw,1984-07-18,75.0,155.0,74.0,Southpaw
Alexandr Romanov,http://ufcstats.com/fighter-details/c0badf3243907e59,"6' 2""",262 lbs.,"75""",Southpaw,1990-12-11,74.0,262.0,75.0,Southpaw
Alexandre Barros,http://ufcstats.com/fighter-details/8fd1f27e86661ede,"5' 9""",170 lbs.,--,Southpaw,1976-11-19,69.0,170.0,,Southpaw
Alexandre Dantas,http://ufcstats.com/fighter-details/8dc46e9a7895ce1a,"6' 2""",238 lbs.,--,Orthodox,1979-03-01,74.0,238.0,,Orthodox
Alexandre Ferreira,http://ufcstats.com/fighter-details/28ba5f27e473420c,"5' 7""",205 lbs.,--,Orthodox,1979-04-25,67.0,205.0,,Orthodox
Alexandre Pantoja,http://ufcstats.com/fighter-details/a0f0004aadf10b71,"5' 5""",125 lbs.,"67""",Orthodox,1990-04-16,65.0,125.0,67.0,Orthodox
Alexia Thainara,http://ufcstats.com/fighter-details/545092d13c67aa49,"5' 4""",115 lbs.,"67""",Orthodox,1995-11-20,64.0,115.0,67.0,Orthodox
Alexis Davis,http://ufcstats.com/fighter-details/4c2d90e335e6df19,"5' 6""",135 lbs.,"68""",Orthodox,1984-10-04,66.0,135.0,68.0,Orthodox
Alexis Dufresne,http://ufcstats.com/fighter-details/4ae4049426e0161d,"5' 9""",135 lbs.,--,Orthodox,1990-08-31,69.0,135.0,,Orthodox
Alfonso Alcarez,http://ufcstats.com/fighter-details/1e38bba6738b7b10,"5' 3""",145 lbs.,--,,1970-06-10,63.0,145.0,,
Ali AlQaisi,http://ufcstats.com/fighter-details/e87a13e02c01331d,"5' 6""",135 lbs.,"68""",Orthodox,1990-09-23,66.0,135.0,68.0,Orthodox
Ali Bagautinov,http://ufcstats.com/fighter-details/3dd92ff9fb0412b3,"5' 4""",125 lbs.,"65""",Orthodox,1985-06-10,64.0,125.0,65.0,Orthodox
Aliaskhab Khizriev,http://ufcstats.com/fighter-details/7ab478c397cd68ef,"5' 9""",185 lbs.,"74""",Southpaw,1990-08-24,69.0,185.0,74.0,Southpaw
Alibi Idiris,http://ufcstats.com/fighter-details/30cad5a751adcb48,"5' 6""",125 lbs.,"68""",Orthodox,1994-10-22,66.0,125.0,68.0,Orthodox
Alice Ardelean,http://ufcstats.com/fighter-details/87f8699fdcc2c404,"5' 3""",115 lbs.,"62""",Orthodox,1992-04-19,63.0,115.0,62.0,Orthodox
Alice Pereira,http://ufcstats.com/fighter-details/81d2c551886bd5a1,"5' 8""",135 lbs.,"71""",Orthodox,2005-12-20,68.0,135.0,71.0,Orthodox
Alistair Overeem,http://ufcstats.com/fighter-details/b4ad3a06ee4d660c,"6' 4""",265 lbs.,"80""",Orthodox,1980-05-17,76.0,265.0,80.0,Orthodox
Aljamain Sterling,http://ufcstats.com/fighter-details/cb696ebfb6598724,"5' 7""",145 lbs.,"71""",Orthodox,1989-07-31,67.0,145.0,71.0,Orthodox
Allan Goes,http://ufcstats.com/fighter-details/e62b36885ecdac27,"6' 0""",205 lbs.,--,Orthodox,1971-04-20,72.0,205.0,,Orthodox
Allan Nascimento,http://ufcstats.com/fighter-details/253076a23d03dcd0,"5' 8""",125 lbs.,"69""",Orthodox,1991-09-11,68.0,125.0,69.0,Orthodox
Allan Zuniga,http://ufcstats.com/fighter-details/523af801b3429015,"5' 7""",155 lbs.,"70""",Orthodox,1992-04-04,67.0,155.0,70.0,Orthodox
Allen Berube,http://ufcstats.com/fighter-details/aebfb84d1f6d2d8c,"5' 8""",155 lbs.,--,Orthodox,1974-08-25,68.0,155.0,,Orthodox
Allen Crowder,http://ufcstats.com/fighter-details/a9d6e047ce48ab63,"6' 3""",245 lbs.,"76""",Orthodox,1989-11-08,75.0,245.0,76.0,Orthodox
Allen Frye Jr.,http://ufcstats.com/fighter-details/73a78713bd899f4c,"6' 5""",265 lbs.,"80""",Orthodox,1998-04-15,77.0,265.0,80.0,Orthodox
Alonzo Menifield,http://ufcstats.com/fighter-details/a495f599e787614f,"6' 0""",205 lbs.,"76""",Orthodox,1987-10-18,72.0,205.0,76.0,Orthodox
Alptekin Ozkilic,http://ufcstats.com/fighter-details/e18a19001a3f7c7d,"5' 5""",125 lbs.,"65""",Orthodox,1986-03-27,65.0,125.0,65.0,Orthodox
Alvaro Herrera Mendoza,http://ufcstats.com/fighter-details/74d35fbc9c6a61bd,"6' 0""",155 lbs.,"74""",Orthodox,1990-05-14,72.0,155.0,74.0,Orthodox
Alvin Hines,http://ufcstats.com/fighter-details/ab2a4b5e04dc5fe9,"6' 2""",265 lbs.,"74""",Orthodox,1991-10-20,74.0,265.0,74.0,Orthodox
Alvin Robinson,http://ufcstats.com/fighter-details/cbe79765d44bd172,"5' 9""",155 lbs.,"68""",Southpaw,1982-07-16,69.0,155.0,68.0,Southpaw
Amanda Cooper,http://ufcstats.com/fighter-details/d4a31850a7457f1b,"5' 3""",115 lbs.,"64""",Switch,1991-10-22,63.0,115.0,64.0,Switch
Amanda Lemos,http://ufcstats.com/fighter-details/3df5493bb279226f,"5' 4""",115 lbs.,"65""",Southpaw,1987-05-22,64.0,115.0,65.0,Southpaw
Amanda Nunes,http://ufcstats.com/fighter-details/80fa8218c99f9c58,"5' 8""",135 lbs.,"69""",Orthodox,1988-05-30,68.0,135.0,69.0,Orthodox
Amanda Ribas,http://ufcstats.com/fighter-details/beecb672a279223e,"5' 4""",115 lbs.,"66""",Orthodox,1993-08-26,64.0,115.0,66.0,Orthodox
Amar Suloev,http://ufcstats.com/fighter-details/7aa88401f93ce836,"5' 9""",183 lbs.,--,Orthodox,1976-07-01,69.0,183.0,,Orthodox
Amaury Bitetti,http://ufcstats.com/fighter-details/7a359ef685a304a7,"5' 9""",185 lbs.,--,Orthodox,1969-04-14,69.0,185.0,,Orthodox
Amilcar Alves,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc,"6' 0""",170 lbs.,--,Southpaw,1988-08-08,72.0,170.0,,Southpaw
Amir Albazi,http://ufcstats.com/fighter-details/6d35bf94f7d30241,"5' 5""",125 lbs.,"68""",Orthodox,1993-10-27,65.0,125.0,68.0,Orthodox
Amir Sadollah,http://ufcstats.com/fighter-details/2650e2f846a30f64,"5' 10""",170 lbs.,"75""",Orthodox,1980-08-27,70.0,170.0,75.0,Orthodox
Anderson Dos Santos,http://ufcstats.com/fighter-details/bbc9ab95fa766493,"5' 5""",135 lbs.,"70""",Orthodox,1985-07-24,65.0,135.0,70.0,Orthodox
Anderson Silva,http://ufcstats.com/fighter-details/1f454354805b6f75,"6' 2""",185 lbs.,"77""",Southpaw,1975-04-14,74.0,185.0,77.0,Southpaw
Andre Ewell,http://ufcstats.com/fighter-details/5f6f049d54728e88,"5' 8""",145 lbs.,"75""",Southpaw,1988-01-21,68.0,145.0,75.0,Southpaw
Andre Fialho,http://ufcstats.com/fighter-details/33efaf2d0941cfcf,"6' 0""",170 lbs.,"74""",Orthodox,1994-04-07,72.0,170.0,74.0,Orthodox
Andre Fili,http://ufcstats.com/fighter-details/8fd808923cffff82,"5' 11""",145 lbs.,"74""",Orthodox,1990-06-25,71.0,145.0,74.0,Orthodox
Andre Gusmao,http://ufcstats.com/fighter-details/cc300e9aa3063431,"6' 0""",205 lbs.,--,Orthodox,1977-05-19,72.0,205.0,,Orthodox
Andre Lima,http://ufcstats.com/fighter-details/b1f21ce050035d58,"5' 7""",125 lbs.,"67""",Orthodox,1999-02-04,67.0,125.0,67.0,Orthodox
Andre Muniz,http://ufcstats.com/fighter-details/886264a0c9f4ea5e,"6' 1""",185 lbs.,"78""",Southpaw,1990-02-17,73.0,185.0,78.0,Southpaw
Andre Pederneiras,http://ufcstats.com/fighter-details/bba678d312590087,"5' 8""",155 lbs.,--,Orthodox,1967-03-22,68.0,155.0,,Orthodox
Andre Petroski,http://ufcstats.com/fighter-details/5f61780fe5e9b6d0,"6' 0""",185 lbs.,"73""",Switch,1991-06-12,72.0,185.0,73.0,Switch
Andre Roberts,http://ufcstats.com/fighter-details/a54a35a670d8e852,"6' 2""",345 lbs.,--,Orthodox,1965-02-24,74.0,345.0,,Orthodox
Andre Soukhamthath,http://ufcstats.com/fighter-details/d0e50a3d1b250708,"5' 9""",135 lbs.,"70""",Orthodox,1988-10-23,69.0,135.0,70.0,Orthodox
Andre Winner,http://ufcstats.com/fighter-details/b45d6b73f4ca4467,"5' 11""",155 lbs.,"73""",Orthodox,1981-11-09,71.0,155.0,73.0,Orthodox
Andrea Lee,http://ufcstats.com/fighter-details/05fa626cb33d15b8,"5' 6""",125 lbs.,"69""",Orthodox,1989-02-11,66.0,125.0,69.0,Orthodox
Andreas Gustafsson,http://ufcstats.com/fighter-details/2caf993f53541fa1,"6' 1""",170 lbs.,"73""",Orthodox,1991-02-20,73.0,170.0,73.0,Orthodox
Andreas Michailidis,http://ufcstats.com/fighter-details/79325a3c1a5c3bf4,"6' 0""",170 lbs.,"76""",Orthodox,1988-07-18,72.0,170.0,76.0,Orthodox
Andreas Stahl,http://ufcstats.com/fighter-details/69a400af4420cd6a,"5' 11""",170 lbs.,--,Orthodox,1988-05-20,71.0,170.0,,Orthodox
Andrei Arlovski,http://ufcstats.com/fighter-details/3738e68d2261e60f,"6' 3""",240 lbs.,"77""",Orthodox,1979-02-04,75.0,240.0,77.0,Orthodox
Andrei Semenov,http://ufcstats.com/fighter-details/5f2f0da6fd6a84fd,"6' 0""",185 lbs.,--,Orthodox,1977-06-17,72.0,185.0,,Orthodox
Andrew Craig,http://ufcstats.com/fighter-details/8a70ceb3edbe757b,"6' 1""",170 lbs.,"76""",Orthodox,1986-01-15,73.0,170.0,76.0,Orthodox
Andrew Holbrook,http://ufcstats.com/fighter-details/66ab58d0b3783607,"5' 11""",155 lbs.,"70""",Southpaw,1986-02-06,71.0,155.0,70.0,Southpaw
Andrew Sanchez,http://ufcstats.com/fighter-details/fccf811c1e8b01c7,"6' 1""",185 lbs.,"74""",Orthodox,1988-04-08,73.0,185.0,74.0,Orthodox
Andrey Pulyaev,http://ufcstats.com/fighter-details/22e07d3da1aa3475,"6' 4""",185 lbs.,"78""",Southpaw,1997-09-10,76.0,185.0,78.0,Southpaw
Andy Anderson,http://ufcstats.com/fighter-details/9199e0735b83dd32,"5' 6""",240 lbs.,--,,1974-07-16,66.0,240.0,,
Andy Enz,http://ufcstats.com/fighter-details/993d385f5a475375,"6' 3""",185 lbs.,"78""",Orthodox,1991-08-15,75.0,185.0,78.0,Orthodox
Andy Ogle,http://ufcstats.com/fighter-details/b6c4451cb13c9303,"5' 8""",145 lbs.,"69""",Orthodox,1989-02-16,68.0,145.0,69.0,Orthodox
Andy Wang,http://ufcstats.com/fighter-details/476414d2f18cd059,"5' 6""",155 lbs.,--,Orthodox,1977-05-28,66.0,155.0,,Orthodox
Ange Loosa,http://ufcstats.com/fighter-details/1497e735d9f2560a,"5' 10""",170 lbs.,"74""",Orthodox,1993-03-18,70.0,170.0,74.0,Orthodox
Angel Pacheco,http://ufcstats.com/fighter-details/07797f10b9569cfc,"5' 8""",135 lbs.,"70""",Orthodox,1992-01-13,68.0,135.0,70.0,Orthodox
Angela Hill,http://ufcstats.com/fighter-details/f0feeb2192937424,"5' 3""",115 lbs.,"64""",Orthodox,1985-01-12,63.0,115.0,64.0,Orthodox
Angela Magana,http://ufcstats.com/fighter-details/bd878a638e0e3be3,"5' 1""",115 lbs.,"65""",Orthodox,1983-08-02,61.0,115.0,65.0,Orthodox
Anistavio Medeiros,http://ufcstats.com/fighter-details/2937cb502dda0808,"5' 6""",145 lbs.,--,Orthodox,1988-05-01,66.0,145.0,,Orthodox
Anna Elmose,http://ufcstats.com/fighter-details/1536a25e16fc299b,"5' 3""",115 lbs.,--,Orthodox,1984-10-06,63.0,115.0,,Orthodox
Ansar Chalangov,http://ufcstats.com/fighter-details/7342fcc41a4817fa,"5' 9""",170 lbs.,--,Orthodox,1979-10-30,69.0,170.0,,Orthodox
Anshul Jubli,http://ufcstats.com/fighter-details/a72a2a769fa5a2be,"6' 0""",155 lbs.,"69""",Switch,1995-01-13,72.0,155.0,69.0,Switch
Ante Delija,http://ufcstats.com/fighter-details/7d8435c56043b0ae,"6' 3""",239 lbs.,"78""",Orthodox,1990-08-07,75.0,239.0,78.0,Orthodox
Anthony Birchak,http://ufcstats.com/fighter-details/c5a126ace82a6025,"5' 8""",135 lbs.,"69""",Orthodox,1986-05-16,68.0,135.0,69.0,Orthodox
Anthony Christodoulou,http://ufcstats.com/fighter-details/4f11e9ce318ffbcb,"5' 9""",155 lbs.,--,Orthodox,1987-07-30,69.0,155.0,,Orthodox
