fighter_name,fighter_url,height_raw,weight_raw,reach_raw,stance_raw,date_of_birth,height_in,weight_lbs,reach_in,stance
Juliana Lima,http://ufcstats.com/fighter-details/75a6a390fd5dca46,"5' 5""",115 lbs.,"65""",Orthodox,1982-03-15,65.0,115.0,65.0,Orthodox
Juliana Miller,http://ufcstats.com/fighter-details/aa0c573da7119292,"5' 7""",125 lbs.,"66""",Orthodox,1996-05-07,67.0,125.0,66.0,Orthodox
Julianna Pena,http://ufcstats.com/fighter-details/3253b16d38ae087d,"5' 6""",135 lbs.,"69""",Orthodox,1989-08-19,66.0,135.0,69.0,Orthodox
Julie Kedzie,http://ufcstats.com/fighter-details/981ab7a0576f76a0,"5' 5""",135 lbs.,--,Orthodox,1981-03-18,65.0,135.0,,Orthodox
Julija Stoliarenko,http://ufcstats.com/fighter-details/a78a87d8c2bbb1cb,"5' 7""",125 lbs.,"66""",Orthodox,1993-04-08,67.0,125.0,66.0,Orthodox
Julio Arce,http://ufcstats.com/fighter-details/1291edf2d566a71a,"5' 7""",145 lbs.,"70""",Southpaw,1989-10-27,67.0,145.0,70.0,Southpaw
Julio Paulino,http://ufcstats.com/fighter-details/60c72f7459827881,"6' 0""",170 lbs.,--,Orthodox,1975-12-04,72.0,170.0,,Orthodox
Julius Walker,http://ufcstats.com/fighter-details/6add18754930182b,"6' 4""",205 lbs.,"78""",Orthodox,1999-07-16,76.0,205.0,78.0,Orthodox
Jumabieke Tuerxun,http://ufcstats.com/fighter-details/1ed32eaaba9ffe10,"5' 7""",135 lbs.,--,Orthodox,1986-04-17,67.0,135.0,,Orthodox
JunYong Park,http://ufcstats.com/fighter-details/285ae0b4a68221f4,"5' 10""",185 lbs.,"73""",Orthodox,1991-02-27,70.0,185.0,73.0,Orthodox
Junie Browning,http://ufcstats.com/fighter-details/d74cba8566291bfa,"5' 9""",155 lbs.,--,Orthodox,1984-05-12,69.0,155.0,,Orthodox
Junior Albini,http://ufcstats.com/fighter-details/c482c8605455a213,"6' 3""",264 lbs.,"74""",Orthodox,1991-03-15,75.0,264.0,74.0,Orthodox
Junior Assuncao,http://ufcstats.com/fighter-details/d0d7160824278840,"5' 9""",145 lbs.,"72""",Orthodox,1981-06-24,69.0,145.0,72.0,Orthodox
Junior Dos Santos,http://ufcstats.com/fighter-details/63def5a5662a6917,"6' 4""",238 lbs.,"77""",Orthodox,1984-01-30,76.0,238.0,77.0,Orthodox
Junior Tafa,http://ufcstats.com/fighter-details/c15fa95b9a12fde4,"6' 3""",205 lbs.,"75""",Orthodox,1996-09-21,75.0,205.0,75.0,Orthodox
Jussier Formiga,http://ufcstats.com/fighter-details/b102c26727306ab6,"5' 5""",125 lbs.,"67""",Orthodox,1985-04-14,65.0,125.0,67.0,Orthodox
Justin Buchholz,http://ufcstats.com/fighter-details/231926533134ec1f,"6' 0""",155 lbs.,"73""",Orthodox,1983-08-22,72.0,155.0,73.0,Orthodox
Justin Edwards,http://ufcstats.com/fighter-details/e56daf7725a0b5ab,"5' 10""",155 lbs.,"70""",Orthodox,1983-01-26,70.0,155.0,70.0,Orthodox
Justin Eilers,http://ufcstats.com/fighter-details/27fc9218a3653e3c,"6' 1""",235 lbs.,--,Orthodox,1978-06-28,73.0,235.0,,Orthodox
Justin Frazier,http://ufcstats.com/fighter-details/78863e4a28204a6b,"6' 0""",265 lbs.,"75""",Southpaw,1989-06-15,72.0,265.0,75.0,Southpaw
Justin Gaethje,http://ufcstats.com/fighter-details/9e8f6c728eb01124,"5' 11""",155 lbs.,"70""",Orthodox,1988-11-14,71.0,155.0,70.0,Orthodox
Justin James,http://ufcstats.com/fighter-details/1ea8df62b3f8fea6,"5' 10""",155 lbs.,--,Orthodox,1976-11-08,70.0,155.0,,Orthodox
Justin Jaynes,http://ufcstats.com/fighter-details/304a21d0595e1a08,"5' 7""",145 lbs.,"68""",Orthodox,1989-08-10,67.0,145.0,68.0,Orthodox
Justin Jones,http://ufcstats.com/fighter-details/9b75954db8db2a08,"5' 11""",185 lbs.,--,Orthodox,1987-09-06,71.0,185.0,,Orthodox
Justin Lawrence,http://ufcstats.com/fighter-details/879f6cae48d25baa,"5' 8""",145 lbs.,"67""",Orthodox,1990-05-15,68.0,145.0,67.0,Orthodox
Justin Ledet,http://ufcstats.com/fighter-details/ba1e6cb3d43f7430,"6' 4""",205 lbs.,"80""",Orthodox,1988-09-28,76.0,205.0,80.0,Orthodox
Justin Levens,http://ufcstats.com/fighter-details/8c3f3c43c8ceb778,"5' 11""",185 lbs.,--,Orthodox,1980-04-18,71.0,185.0,,Orthodox
Justin Martin,http://ufcstats.com/fighter-details/3da19339ee7051d5,"6' 0""",185 lbs.,--,,,72.0,185.0,,
Justin McCully,http://ufcstats.com/fighter-details/75f871836d41f90f,"6' 1""",225 lbs.,"73""",Orthodox,1976-02-18,73.0,225.0,73.0,Orthodox
Justin Salas,http://ufcstats.com/fighter-details/9b198c73e3d0d289,"5' 8""",155 lbs.,"70""",Southpaw,1982-03-13,68.0,155.0,70.0,Southpaw
Justin Scoggins,http://ufcstats.com/fighter-details/9fa568ad2bf2cb0b,"5' 7""",125 lbs.,"66""",Southpaw,1992-05-02,67.0,125.0,66.0,Southpaw
Justin Tafa,http://ufcstats.com/fighter-details/e13abac8089a801a,"6' 0""",264 lbs.,"74""",Southpaw,1993-12-13,72.0,264.0,74.0,Southpaw
Justin Willis,http://ufcstats.com/fighter-details/ce1e867808ef5fce,"6' 1""",264 lbs.,"78""",Southpaw,1987-07-19,73.0,264.0,78.0,Southpaw
